acc_cell_type,f1_cell_type,dataset,n_cells,n_cell_types,model
0.9460980892181396,0.9049832820892334,Liver,1,3,scDiff-LLM
0.8755617141723633,0.8646198511123657,Immune,1,3,scDiff-LLM
0.7830867171287537,0.6228721141815186,HLCA,1,2,scDiff-LLM
0.7501944899559021,0.7257444858551025,HLCA,1,2,scDiff-LLM
0.756569504737854,0.7424827814102173,HLCA,1,2,scDiff-LLM
0.7931880950927734,0.7666283845901489,HLCA,1,2,scDiff-Embedding
0.8122934103012085,0.6491603851318359,HLCA,1,2,scDiff-Embedding
0.7929301261901855,0.5757203102111816,HLCA,1,2,scDiff-Embedding
0.8034868240356445,0.6553006172180176,HLCA,1,2,scDiff-Embedding
0.7890568971633911,0.7225371599197388,HLCA,1,2,scDiff-Embedding
0.7803964614868164,0.5841619968414307,HLCA,1,2,scDiff-LLM
0.7555564641952515,0.7309650182723999,HLCA,1,2,scDiff-LLM
0.965588629245758,0.9582030773162842,Brain,1,2,scDiff-Embedding
0.9785491228103638,0.9746260643005372,Brain,1,2,scDiff-LLM
0.9959691166877748,0.9954527616500854,Brain,1,2,scDiff-LLM
0.9905059337615968,0.9890690445899964,Brain,1,2,scDiff-LLM
0.978641927242279,0.9746227264404296,Brain,1,2,scDiff-LLM
0.9291356801986694,0.9039585590362548,Brain,1,2,scDiff-Embedding
0.9634952545166016,0.9554080963134766,Brain,1,2,scDiff-Embedding
0.9663347601890564,0.9679598808288574,Brain,1,2,scDiff-Embedding
0.9771048426628112,0.9785050749778748,Brain,1,2,scDiff-Embedding
0.9946556091308594,0.9938580989837646,Brain,1,2,scDiff-LLM
0.8690240979194641,0.8487826585769653,Immune,1,2,scDiff-Embedding
0.8862127065658569,0.8441747426986694,Immune,1,2,scDiff-LLM
1.0,1.0,Liver,1,2,scDiff-Embedding
0.9990384578704834,0.9987483620643616,Liver,1,2,scDiff-LLM
0.731464684009552,0.7313508987426758,Immune,1,2,scDiff-Embedding
0.8702765703201294,0.8305647373199463,Immune,1,2,scDiff-Embedding
0.8681412935256958,0.8481714725494385,Immune,1,2,scDiff-Embedding
0.9045529365539552,0.8807498812675476,Immune,1,2,scDiff-LLM
0.8942971229553223,0.8905730247497559,Immune,1,2,scDiff-LLM
0.8427414894104004,0.776260256767273,Immune,1,2,scDiff-Embedding
0.8857408165931702,0.8538758754730225,Immune,1,2,scDiff-LLM
0.8950444459915161,0.8622844219207764,Immune,1,2,scDiff-LLM
0.9969419240951538,0.997501015663147,Liver,1,2,scDiff-Embedding
1.0,1.0,Liver,1,2,scDiff-Embedding
0.9969419240951538,0.997501015663147,Liver,1,2,scDiff-Embedding
0.9969419240951538,0.997501015663147,Liver,1,2,scDiff-Embedding
1.0,1.0,Liver,1,2,scDiff-LLM
0.9961758852005004,0.9949846267700196,Liver,1,2,scDiff-LLM
1.0,1.0,Liver,1,2,scDiff-LLM
1.0,1.0,Liver,1,2,scDiff-LLM
0.851212739944458,0.8464455008506775,HLCA,10,5,scDiff-LLM
0.8548976182937622,0.8482901453971863,HLCA,10,5,scDiff-Embedding
0.7700710296630859,0.7709247469902039,Brain,10,5,scDiff-LLM
0.7289931774139404,0.7400710582733154,Brain,10,5,scDiff-Embedding
0.9579912424087524,0.9508004188537598,Immune,10,5,scDiff-LLM
0.9226803779602052,0.9183428287506104,Immune,10,5,scDiff-Embedding
0.962815284729004,0.9656270146369934,Liver,10,5,scDiff-Embedding
0.9527438879013062,0.9570600986480712,Liver,10,5,scDiff-LLM
0.8623521327972412,0.8586951494216919,HLCA,10,5,scDiff-LLM
0.7613306045532227,0.7692661881446838,Brain,10,5,scDiff-LLM
0.8534742593765259,0.8458493947982788,HLCA,10,5,scDiff-Embedding
0.7397570610046387,0.7484760284423828,Brain,10,5,scDiff-Embedding
0.951306164264679,0.9377957582473756,Immune,10,5,scDiff-LLM
0.911917209625244,0.9020746350288392,Immune,10,5,scDiff-Embedding
0.9712876081466676,0.9696919322013856,Liver,10,5,scDiff-Embedding
0.9594604969024658,0.9636484384536744,Liver,10,5,scDiff-LLM
0.8519889712333679,0.8476503491401672,HLCA,10,5,scDiff-LLM
0.8576968908309937,0.853244960308075,HLCA,10,5,scDiff-Embedding
